company_name,product_name,extract_name,dmf_no,dmf_status,dmf_submit_date,dmf_country,cep_certificate_number,cep_issue_date,cep_status,cep_end_date,cep_type,written_confirmation_no,wc_issue_date,valid_till,product_name_wc
EUTICALS INC,OMEGA-3 ACID ETHYL ESTERS DRUG SUBSTANCE,OMEGA-3 ACID ETHYL ESTERS,24463,InActive,17/12/2010,Italy,,,,,,,,,
CHINOIN PHARMACEUTCIAL AND CHEMICAL WORKS CO LTD,PGE1 ETHYL ESTER,Prostaglandin E1 Ethyl Ester,14981,InActive,04/08/2000,France,,,,,,,,,
JOHNSON MATTHEY PHARMACEUTICAL MATERIALS,1-(MERCAPTOMETHYL)CYCLOPROPYL ACETIC ACID (TAD),1-Mercaptomethyl-cyclopropyl-acetic acid,13042,InActive,24/06/1998,United Kingdom,,,,,,,,,
FARMABOIS,BETAMETHASONE,BETAMETHASONE,6961,InActive,08/05/1987,Italy,,,,,,,,,
QUATRUM,BETAMETHASONE BASE,BETAMETHASONE,7038,InActive,01/07/1987,Gabon,,,,,,,,,
NOVASEP PROCESS SAS,ARMODAFINIL,ARMODAFINIL,18109,InActive,18/02/2005,France,,,,,,,,,
FARMABOIS,NANDROLONE-17-DECANOATE USP XX,Nandrolone Decanoate,4584,InActive,14/05/1982,Italy,,,,,,,,,
DR REDDYS LABORATORIES LTD,FLUOCINOLONE ACETONIDE ACETATE,FLUOCINOLONE ACETONIDE ACETATE,806,InActive,20/05/1964,India,,,,,,,,,
FARMABOIS,FLUOCINONIDE,FLUOCINONIDE,7391,InActive,22/03/1988,Italy,,,,,,,,,
QUATRUM,FLUOCINONIDE,FLUOCINONIDE,7432,InActive,18/04/1988,Gabon,,,,,,,,,
ORION CORP LTD,CHLORHEXIDINE DIHYDROCHLORIDE BP 80,CHLORHEXIDINE DIHYDROCHLORIDE,6243,InActive,19/03/1986,Finland,,,,,,,,,
EVONIK DEGUSSA GMBH,CHLORHEXIDINE HYDROCHLORIDE,Chlorhexidine Hydrochloride,7480,InActive,16/05/1988,Germany,,,,,,,,,
ORION CORP LTD,"CHLORHEXIDINE ACETATE, BPC","CHLORHEXIDINE ACETATE, BPC",3359,InActive,10/10/1978,Finland,,,,,,,,,
ORION CORP LTD,CHLORHEXIDINE ACETATE BP 80,CHLORHEXIDINE ACETATE,4218,InActive,15/06/1981,Finland,,,,,,,,,
DEGUSSA AG WERK RADEBEUL,CHLORHEXIDINE ACETATE,CHLORHEXIDINE ACETATE,7248,InActive,07/12/1987,Switzerland,,,,,,,,,
ORION CORP LTD,CHLORHEXIDINE GLUCONATE SOLUTION BP 20%,CHLORHEXIDINE GLUCONATE,3290,InActive,27/06/1978,Finland,,,,,,,,,
ORION CORP LTD,CHLORHEXIDINE BASE,Chlorhexidine,5647,InActive,13/12/1984,Finland,,,,,,,,,
DEGUSSA AG WERK RADEBEUL,CHLORHEXIDINE,CHLORHEXIDINE,8451,InActive,15/02/1990,Switzerland,,,,,,,,,
EVONIK TECHNOCHEMIE GMBH,CHLOROHEXIDINE BASE,CHLOROHEXIDINE BASE,17695,InActive,11/03/2004,Germany,,,,,,,,,
CALBIOCHEM CORP,MANUFACTURING PROCEDURE FOR 5-AZACYTIDINE,5-AZACYTIDINE,1691,InActive,22/01/1971,Gabon,,,,,,,,,
GANES CHEMICALS INC PENNSVILLE DIV,"AMINOPHYLLINE, USP XIX, BULK POWDER",AMINOPHYLLINE,2956,InActive,21/06/1977,Gabon,,,,,,,,,
KNOLL AG LUDWIGSHAFEN,AMINOPHYLLINE,AMINOPHYLLINE,4917,InActive,18/04/1983,U.S.A,,,,,,,,,
NIPPON FINE CHEMICAL CO LTD,PHOSPHOLIPID-DSPC,DSPC,6252,InActive,04/04/1986,Japan,,,,,,,,,
ORCHIMIE SA (PRODUITS CHIMIQUES ET BIOCHIMIQUES),THIOTHIXENE DIHYDROCHLORIDE ANHYDROUS,THIOTHIXENE,5939,InActive,26/07/1985,Gabon,,,,,,,,,
FINE CHEMICALS CORP PTY LTD,THIOTHIXENE HYDROCHLORIDE,THIOTHIXENE HYDROCHLORIDE,6656,InActive,30/09/1986,South Africa,,,,,,,,,
CHEMICAL PHARMACEUTICAL RESEARCH INSTITUTE NIHFI LTD,FLUNARIZINE HYDROCHLORIDE,Flunarizine,10677,InActive,15/12/1993,Gabon,R0-CEP 2004-142 - Rev 00,03/10/2005,Withdrawn by EDQM Failure to CEP procedure,05/12/2013,Chemical,,,,
EVONIK DEGUSSA GMBH,GLYCYL-L-TYROSINE,GLYCYL-L-TYROSINE,9505,InActive,17/01/1992,Germany,,,,,,,,,
MACFARLAN SMITH LTD,METHYLPHENIDATE HYDROCHLORIDE,Methylphenidate Hydrochloride,30579,InActive,19/05/2016,United Kingdom,R1-CEP 2016-163 - Rev 00,21/02/2022,Withdrawn by Holder,05/09/2022,Chemical,,,,
HEXAGON LABORATORIES INC,PROPANTHELINE BROMIDE,PROPANTHELINE BROMIDE,6469,InActive,15/06/1986,Gabon,,,,,,,,,
CHEMWERTH INC,PROPANTHELINE BROMIDE,PROPANTHELINE BROMIDE,7691,InActive,26/09/1988,U.S.A,,,,,,,,,
DR REDDYS LABORATORIES LTD,LOPINAVIR,Lopinavir,23256,InActive,10/11/2009,India,,,,,,,,,
DR REDDYS LABORATORIES LTD,"TERT-BUTYL((S)-2-((1S,3S,5S)-3-CYANO-2-AZABICYCLO[3.1.0]HEXAN-2-YL)1-((1R, 3R,5R,7S)-3-HYDROXYADAMANTAN-1-YL)-2-OXOETHYL) CARBAMATE",SUBTILISIN A,27213,Active,12/09/2013,India,,,,,,,,,
JOHNSON MATTHEY INC,ORMAPLATIN,Dexormaplatin,9518,InActive,27/01/1992,United Kingdom,,,,,,,,,
JOHNSON MATTHEY INC,PROCHLORPERAZINE EDISYLATE,PROCHLORPERAZINE EDISYLATE,10213,InActive,22/04/1993,United Kingdom,,,,,,,,,
DUPHAR BV,DYDROGESTERONE  (FORMERLY ISOPREGNENONE),DYDROGESTERONE,427,InActive,04/04/1961,Gabon,,,,,,,,,
SANOFI AVENTIS DEUTSCHLAND GMBH,HR1799 - RECOMBINANT HUMAN INSULIN,AKOS024457628,13945,InActive,15/01/1999,Germany,,,,,,,,,
ORGANICHEM CORP,4-METHOXYPHENOL,4-methoxyphenol,13845,InActive,16/11/1998,U.S.A,,,,,,,,,
LINSON LTD,FLUMETHIAZIDE,FLUMETHIAZIDE,4408,InActive,15/01/1982,Gabon,,,,,,,,,
FINE CHEMICALS CORP,NICOTINE POLACRILEX,NICOTINE POLACRILEX,10527,InActive,31/08/1993,South Africa,,,,,,,,,
RIEDEL DEHAEN AG,"STERILE FINISHED PRODUCTS AS STERILE PROCESSING OPERATIONS, AND LOCATED IN MILANO, ITALY- VIALE ADDETTA PLANT- LYOPHILIZATION PLANT NO.1",4-CHLOROBENZYLIDENEPHTHALIDE,9677,InActive,07/05/1992,Gabon,,,,,,,,,
PHARMAZELL INDIA PRIVATE LTD,N-ACETYLTYROSINE,N-ACETYLTYROSINE,23815,InActive,12/05/2010,India,R1-CEP 2010-178 - Rev 00,28/07/2016,Withdrawn by Holder,25/03/2022,Chemical,,,,
MACFARLAN SMITH JOHNSON MATTHEY PLC BUSINESS,"PENTAMIDINE ISETHIONATE,(BULK)",PENTAMIDINE ISETHIONATE,6447,InActive,02/07/1986,United Kingdom,,,,,,,,,
PHARM ECO LABORATORIES INC,PENTAMIDINE ISETHIONATE,PENTAMIDINE ISETHIONATE,8172,InActive,11/08/1989,U.S.A,,,,,,,,,
DELMAR CHEMICALS INC,PHENAZOPYRIDINE HYDROCHLORIDE (BULK POWDER),PHENAZOPYRIDINE HYDROCHLORIDE,2163,InActive,04/10/1973,Canada,,,,,,,,,
ZAKLADY FARMACEUTYCZNE POLPHARMA SA,PRASUGREL MALEATE,prasugrel maleate,30765,InActive,14/07/2016,Poland,,,,,,,,,
STERLING-WINTHROP RES INST DIV STERLING DRUG INC,AMINACRINE HYDROCHLORIDE,Aminacrine Hydrochloride,1517,InActive,23/04/1970,Gabon,,,,,,,,,
RHONE-POULENC SANTE INC,MEGLUMINE,Meglumine,6359,InActive,14/05/1986,Gabon,,,,,,,,,
ROUSSEL CORP,DESERPIDINE SYNTHETIC,DESERPIDINE,376,InActive,28/04/1960,France,,,,,,,,,
DSM MINERA BV,QUININE SULFATE USP XIX/ NF XII,QUININE SULFATE,3398,InActive,01/11/1978,Gabon,,,,,,,,,
DELMAR CHEMICALS INC,KETOROLAC TROMETHAMINE,KETOROLAC TROMETHAMINE,10740,InActive,23/02/1994,Canada,,,,,,,,,
DELMAR CHEMICALS INC,KETOROLAC DERIVATIVE,KETOROLAC,11688,InActive,29/09/1995,Canada,,,,,,,,,
JOHNSON MATTHEY INC PHARMACEUTICAL MATERIALS,FENTANYL HYDROCHLORIDE,FENTANYL HYDROCHLORIDE,11200,InActive,15/11/1994,United Kingdom,,,,,,,,,
DEGUSSA AG WERK RADEBEUL,CISPLATIN,CISPLATIN,12012,InActive,24/06/1996,Switzerland,,,,,,,,,
FINORGA,METHYL SARCOSINATE HCl, METHYL SARCOSINATE HCl ,6016,InActive,30/08/1985,France,,,,,,,,,
VICTOR M HERMELIN AND CO DIV KV PHARMACAL CO,PENTRITOL (PENTAERYTHRITOL TETRANITRATE) TEMPULES 60MG CONT RLSE CAPSL,PENTAERYTHRITOL TETRANITRATE,1200,InActive,05/07/1968,Gabon,,,,,,,,,
VICTOR M HERMELIN CO DIV K-V PHARMACAL CO,DILAC 80MG (PENTAERYTHRITOL TETRANITRATE RIMED DISINT CAPSULES,PENTAERYTHRITOL TETRANITRATE,1386,InActive,27/06/1969,Gabon,,,,,,,,,
VICTOR M HERMELIN CO DIV K-V PHARMACAL CO,NEO-COROVAS TYM CAPS 30MG (PENTAERYTHRITOL TETRANITRATE,PENTAERYTHRITOL TETRANITRATE,1398,InActive,30/07/1969,Gabon,,,,,,,,,
DELMAR CHEMICALS INC,IMIPRAMINE HYDROCHLORIDE,IMIPRAMINE HYDROCHLORIDE,2119,InActive,25/06/1973,Canada,,,,,,,,,
PHENCHEM INDUSTRIES LTD,IMIPRAMINE HCL,IMIPRAMINE HCL,2592,InActive,23/01/1976,Gabon,,,,,,,,,
ORION CORP LTD,IMIPRAMINE HCL.,IMIPRAMINE HCL,5831,InActive,10/05/1985,Finland,,,,,,,,,
DR REDDYS LABORATORIES LTD,FLUNISOLIDE,03/03/3385,3145,InActive,28/02/1978,India,,,,,,,,,
FARMABOIS,FLUNISOLIDE,FLUNISOLIDE,8566,InActive,09/04/1990,Italy,,,,,,,,,
DR REDDYS LABORATORIES LTD,FLUNISOLIDE HEMIHYDRATE,Flunisolide,16935,InActive,20/10/2003,India,,,,,,,,,
DR REDDYS LABORATORIES LTD,AGOMELATINE PHOSPHORIC ACID,Agomelatine,28024,InActive,25/03/2014,India,,,,,,,,,
PHARM ECO LABORATORIES INC,2(R)-HYDROXY-3(S) BOC-AMINO-4-PHENYL-1-AMINOBUTANE,1-AMINOBUTANE,11849,InActive,13/02/1996,U.S.A,,,,,,,,,
FERMION OY,CITALOPRAM HYDROBROMIDE,CITALOPRAM HYDROBROMIDE,16700,InActive,11/07/2003,Finland,,,,,,,,,
DR REDDYS LABORATORIES LTD,RIVASTIGMINE,Rivastigmine,25910,InActive,08/05/2012,India,R0-CEP 2012-408 - Rev 02,09/12/2016,Withdrawn by Holder,07/09/2020,Chemical,,,,
FINORGA,6-METHOXY-2-NAPHTHALDEHYDE,6-METHOXY-2-NAPHTHALDEHYDE,7490,InActive,20/05/1988,France,,,,,,,,,
VICTOR M HERMELIN CO DIV K-V PHARMACAL CO,DRISTAN CAPSULES,DRISTAN,1104,InActive,06/12/1967,Gabon,,,,,,,,,
DELMAR CHEMICALS INC,PYRIDOSTIGMINE BROMIDE,PYRIDOSTIGMINE BROMIDE,8800,InActive,25/10/1990,Canada,R0-CEP 2005-139 - Rev 03,05/12/2007,Expired,07/06/2012,Chemical,,,,
DEGUSSA AG WERK RADEBEUL,GLYCINE,GLYCINE,3866,InActive,03/07/1980,Switzerland,,,,,,,,,
CHEMWERTH INC,IRINOTECAN HCL (NON-STERILE BULK DRUG SUBSTANCE),Irinotecan Hydrochloride,17348,InActive,13/05/2004,U.S.A,,,,,,,,,
DR REDDYS LABORATORIES LTD,IRINOTECAN HYDROCHLORIDE TRIHYDRATE,Irinotecan Hydrochloride Trihydrate,20325,InActive,06/03/2007,India,,,,,,,,,
AVRA LABORATORIES PRIVATE LTD,IRINOTECAN HYDROCHLORIDE USP,IRINOTECAN HYDROCHLORIDE,25693,InActive,04/01/2012,India,,,,,,,,,
AVRA LABORATORIES PRIVATE LTD,IRINOTECAN HYDROCHLORIDE USP,Irinotecan Hydrochloride,30516,InActive,12/04/2016,India,,,,,,,,,
EXCELLA GMBH,ATOVAQUONE,ATOVAQUONE,21468,InActive,28/03/2008,Germany,,,,,,,,,
SPI PHARMA INC,MAGNESIUM HYDROXIDE PASTE/POWDER USP,MAGNESIUM HYDROXIDE,15337,InActive,19/03/2001,U.S.A,,,,,,,,,
SPI PHARMA INC,BARCROFT(TM) 5300D MAGNESIUM HYDROXIDE USP,Magnesium Hydroxide,19331,InActive,07/04/2006,U.S.A,,,,,,,,,
SPI PHARMA INC,MAGNESIUM HYDROXIDE DC MS90 PRODUCTS,MAGNESIUM HYDROXIDE,22480,InActive,06/02/2009,U.S.A,,,,,,,,,
NIPPON FINE CHEMICAL CO LTD,PHOSPHOLIPID DPPC,PHOSPHOLIPID DPPC,6251,InActive,04/04/1986,Japan,,,,,,,,,
EMERY CHEMICALS,EMTHOX 6946 (NONOXYNOL-9),NONOXYNOL-9,6655,InActive,28/10/1986,Malaysia,,,,,,,,,
FINORGA,ALFUZOSIN HYDROCHLORIDE,ALFUZOSIN HYDROCHLORIDE,12546,InActive,03/06/1997,France,R1-CEP 2007-126 - Rev 04,07/03/2022,Valid,,Chemical,,,,
EXCELLA GMBH AND CO KG,ALFUZOSIN HYDROCHLORIDE,ALFUZOSIN HYDROCHLORIDE,17624,Active,24/08/2004,Germany,,,,,,,,,
DR REDDYS LABORATORIES LTD,ALFUZOSIN HYDROCHLORIDE,133880-44-1,19961,InActive,14/11/2006,India,,,,,,,,,
DEGUSSA AG WERK RADEBEUL,L-ORNITHINE HCL,L-ORNITHINE HCL,3924,InActive,05/08/1980,Switzerland,,,,,,,,,
PHARMECO LABORATORIES INC,DIPIVEFRIN HCL,DIPIVEFRIN HCL,8175,InActive,19/07/1989,Gabon,,,,,,,,,
PCAS,DIPIVEFRIN HYDROCHLORIDE,DIPIVEFRIN HYDROCHLORIDE,12242,InActive,02/12/1996,France,,,,,,,,,
APOTHEKERNES LABORATORIUM AS,NEOMYCIN SULFATE,NEOMYCIN SULFATE,242,InActive,01/01/1940,Gabon,,,,,,,,,
APOTHEKERNES LABORATORIUM AS,NEOMYCIN SULFATE,NEOMYCIN SULFATE,13528,InActive,01/09/1998,Gabon,,,,,,,,,
APOTHEKERNES LABORATORIUM AS,NEOMYCIN SULFATE,NEOMYCIN SULFATE,13609,InActive,01/09/1998,Gabon,,,,,,,,,
ADARE PHARMACEUTICALS INC,LOPERAMIDE MICROCAPS®,Loperamide,30201,InActive,28/04/2016,U.S.A,R0-CEP 2005-247 - Rev 01,10/03/2010,Withdrawn by EDQM Failure to CEP procedure,06/12/2013,Chemical,,,,
SIBEFAT SPA,LABETALOL HYDROCHLORIDE,LABETALOL HYDROCHLORIDE,8495,InActive,27/03/1990,Gabon,,,,,,,,,
PHARM ECO LABORATORIES INC,"2-NSA-FORMALDEHYDE CONDENSATE, SODIUM SALT-FRACTIONATED",FORMALDEHYDE,11257,InActive,21/12/1994,U.S.A,,,,,,,,,
PHARM ECO LABORATORIES INC,"2-NSA-FORMALDEHYDE CONDENSATE, SODIUM SALT-FRACTIONED",FORMALDEHYDE,13229,InActive,22/09/1998,U.S.A,,,,,,,,,
ORION CORP LTD,SUCRALFATE,SUCRALFATE,5454,InActive,25/06/1984,Finland,,,,,,,,,
LAKE AND CRUICKSHANK,"D-PSEUDO EPHEDRINE ALKALOID, SULPHATE AND HYDROCHLORIDE",Pseudoephedrine,2982,InActive,26/05/1977,Gabon,,,,,,,,,
WISCONSIN ANALYTICAL AND RESEARCH SERVICES LTD,DETERMINATION OF PSEUDOEPHEDRINE IN HUMAN PLASMA,PSEUDOEPHEDRINE,7107,InActive,10/08/1987,Gabon,,,,,,,,,
ICI AMERICAS INC,SDM 37 (ETHYL ALCOHOL-NITROGLY DRUG MIXTURE),ETHYL ALCOHOL,4248,InActive,20/07/1981,Gabon,,,,,,,,,
EVONIK CORP,L-LYSINE HYDROCHLORIDE PYROGEN FREE,L-LYSINE HYDROCHLORIDE PYROGEN FREE,3991,InActive,22/05/1980,Germany,,,,,,,,,
DR REDDYS LABORATORIES LTD,INGENOL MEBUTATE,Ingenol Mebutate,30117,InActive,31/12/2015,India,,,,,,,,,
INTERQUIM SA,ABAPERIDONE HYDROCHLORIDE,ABAPERIDONE HYDROCHLORIDE,16289,InActive,05/12/2002,Spain,,,,,,,,,
DR REDDYS LABORATORIES LTD,DUTASTERIDE (Process-I),DUTASTERIDE,18408,InActive,07/06/2005,India,,,,,,,,,
JOHNSON MATTHEY PHARMACEUTICAL MATERIALS,JM-216,YHI-601,10623,InActive,18/12/1993,United Kingdom,,,,,,,,,
ZACH SYSTEM SPA,DORZOLAMIDE HYDROCHLORIDE,Dorzolamide Hydrochloride,21626,InActive,16/05/2008,Gabon,,,,,,,,,
ORION CORP LTD,DEXMEDETOMIDINE,DEXMEDETOMIDINE,9251,InActive,18/07/1991,Finland,,,,,,,,,
EXCELLA GMBH,RIVASTIGMINE TARTRATE,RIVASTIGMINE TARTRATE,21469,InActive,27/03/2008,Germany,,,,,,,,,
INTERQUIM SA,RIVASTIGMINE TARTRATE,RIVASTIGMINE TARTRATE,22773,InActive,13/05/2009,Spain,,,,,,,,,
EXCELLA GMBH,BISOPROLOL HEMIFUMARATE,Bisoprolol Fumarate,12716,InActive,23/10/1997,Germany,R1-CEP 2008-188 - Rev 00,20/08/2014,Withdrawn by Holder,23/05/2018,Chemical,,,,
CRYSTAL PHARMA SAU,DROSPIRENONE NON MICRONIZED AND MICRONIZED,DROSPIRENONE,25796,InActive,17/02/2012,Spain,,,,,,,,,
VICTOR M HERMELIN CO DIV K-V PHARMACAL CO,ISORDIL TEMBIDS (ISOSORBIDE DINITRATE) SRC,ISOSORBIDE DINITRATE,1429,InActive,03/03/1969,Gabon,,,,,,,,,
EUTICALS LTD,ISOSORBIDE DINITRATE BULK,ISOSORBIDE DINITRATE,1855,InActive,07/01/1972,Italy,,,,,,,,,
PCAS,ROPINIROLE HYDROCHLORIDE,ROPINIROLE HYDROCHLORIDE,19198,InActive,22/02/2006,France,,,,,,,,,
PHARM ECO LABORATORIES INC,XYLAZINE HYDROCHLORIDE,XYLAZINE HYDROCHLORIDE,6849,InActive,26/02/1987,U.S.A,,,,,,,,,
ORION CORP LTD,PRAZOSIN HCL ALPHA-FORM,PRAZOSIN HCL ALPHA-FORM,6841,InActive,18/02/1987,Finland,,,,,,,,,
FERMION OY,PRAZOSIN HYDROCHLORIDE,PRAZOSIN HYDROCHLORIDE,9188,InActive,25/06/1991,Finland,,,,,,,,,
CHEMICAL PHARMACEUTICAL RESEARCH INSTITUTE NIHFI LTD,PRAZOSIN HYDROCHLORIDE,PRAZOSIN HYDROCHLORIDE,10678,InActive,15/12/1993,Gabon,,,,,,,,,
EVONIK TECHNOCHEMIE GMBH,CLOMIPRAMINE HYDROCHLORIDE,CLOMIPRAMINE HYDROCHLORIDE,13127,InActive,12/08/1998,Germany,R1-CEP 1998-039 - Rev 03,20/06/2008,Withdrawn by Holder,25/08/2014,Chemical,,,,
PCAS,CLOMIPRAMINE HCL,CLOMIPRAMINE HCL,15811,InActive,14/01/2002,France,,,,,,,,,
WISCONSIN ANALYTICAL AND RESEARCH SERVICES LTD,DETERMINATION OF BROMPHENIRAMINE IN HUMAN PLASMA BY GAS LIQUI,BROMPHENIRAMINE,8978,InActive,20/02/1991,Gabon,,,,,,,,,
PHARMAZELL INDIA PRIVATE LTD,N-ACETYL TYROSINE,N-ACETYL TYROSINE,22574,InActive,21/02/2009,India,,,,,,,,,
RESEARCH INDUSTRIES CORP,DIMETHYL SULFOXIDE (DMSO),DIMETHYL SULFOXIDE,2551,InActive,03/11/1975,Gabon,,,,,,,,,
PHARMAZELL INDIA PRIVATE LTD,L-CYSTINE,Cystine,21886,InActive,14/08/2008,India,,,,,,,,,
CLARIANT GMBH GRIESHEIM WORKS DIVISION FINE CHEMICALS,N-CARBOXYBENZYL-3-FLUORO-4-MORPHOLINOANILINE,N-Carboxybenzyl-3-fluoro-4-morpholinoaniline,14080,InActive,09/04/1999,France,,,,,,,,,
CLARIANT GMBH,N-CARBOXYBENZYL-3-FLUORO-4-MORPHOLINOANILINE,N-CARBOXYBENZYL-3-FLUORO-4-MORPHOLINOANILINE,14088,InActive,19/04/1999,France,,,,,,,,,
BLASCHIM SPA,METHYLPREDNISOLONE,METHYLPREDNISOLONE,2939,InActive,11/05/1977,Gabon,,,,,,,,,
QUATRUM,METHYLPREDNISOLONE BASE,METHYLPREDNISOLONE,6832,InActive,19/01/1987,Gabon,,,,,,,,,
LINSON LTD,"FLUPHENAZINE HYDROCHLORIDE, BULK FORM",FLUPHENAZINE HYDROCHLORIDE,4393,InActive,14/01/1982,Gabon,,,,,,,,,
ORCHIMIE SA (PRODUITS CHIMIQUES ET BIOCHIMIQUES),FLUPHENAZINE HYDROCHLORIDE,FLUPHENAZINE HYDROCHLORIDE,6715,InActive,05/12/1986,Gabon,,,,,,,,,
FERMION OY,ODM-201,Darolutamide,27973,InActive,28/05/2014,Finland,,,,,,,,,
CHEMAGIS LTD,PREDNICARBATE,PREDNICARBATE,16485,InActive,25/03/2003,Israel,,,,,,,,,
SANOFI AVENTIS DEUTSCHLAND GMBH,PREDNICARBATE,Prednicarbate,25504,InActive,02/06/2011,Germany,,,,,,,,,
DEGUSSA AG WERK RADEBEUL,L-ARGININE HCL,L-ARGININE HCL,3998,InActive,10/11/1980,Switzerland,,,,,,,,,
ORION CORP LTD,THIORIDAZINE HYDROCHLORIDE,THIORIDAZINE HYDROCHLORIDE,4608,InActive,14/07/1982,Finland,,,,,,,,,
FINE CHEMICALS CORP PTY LTD,THIORIDAZINE HCL,Thioridazine Hydrochloride,4902,InActive,14/03/1983,South Africa,,,,,,,,,
ORCHIMIE SA (PRODUITS CHIMIQUES ET BIOCHIMIQUES),THIORIDAZINE,Thioridazine Hydrochloride,5785,InActive,27/03/1985,Gabon,,,,,,,,,
HEXAGON LABORATORIES INC,THIORIDAZINE HYDROCHLORIDE,THIORIDAZINE HYDROCHLORIDE,6472,InActive,23/01/1985,Gabon,,,,,,,,,
DR REDDYS LABORATORIES LTD,DOMPERIDONE MALEATE,Domperidone Maleate,12698,InActive,15/10/1997,India,,,,,,,,,
DR REDDYS LABORATORIES LTD,TELMISARTAN,TELMISARTAN,19759,InActive,11/09/2006,India,R1-CEP 2010-165 - Rev 03,16/11/2022,Valid,,Chemical,,,,
CHEMWERTH INC,REPAGLINIDE USP,REPAGLINIDE,18003,InActive,12/01/2005,U.S.A,R1-CEP 2011-128 - Rev 00,17/02/2017,Withdrawn by Holder,04/04/2022,Chemical,,,,
ZAKLADY FARMACEUTYCZNE POLPHARMA SA,REPAGLINIDE,REPAGLINIDE,21149,InActive,18/12/2007,Poland,,,,,,,,,
ZACH SYSTEM,MILNACIPRAN,Milnacipran,9074,InActive,19/04/1991,Gabon,,,,,,,,,
FINORGA,TRITHIOZINE,TRITHIOZINE,3602,InActive,22/08/1979,France,,,,,,,,,
DELMAR CHEMICALS INC,"OXTRIPHYLLINE, BULK FORM",OXTRIPHYLLINE,3370,InActive,20/11/1978,Canada,,,,,,,,,
QUATRUM,BETMETHASONE SODIUM PHOSPHATE,BETMETHASONE SODIUM PHOSPHATE,7228,InActive,30/11/1987,Gabon,,,,,,,,,
CRYSTAL PHARMA SAU,BETAMETHASONE SODIUM PHOSPHATE,BETAMETHASONE SODIUM PHOSPHATE,17803,InActive,01/11/2004,Spain,,,,,,,,,
EVONIK OPERATIONS GMBH,EUDRAGITS,eudragits,1242,InActive,02/10/1968,Germany,,,,,,,,,
CALBIOCHEM BEHRING CORP,DOPAMINE HCL,DOPAMINE,1063,InActive,29/05/1967,Gabon,,,,,,,,,
SANOFI SYNTHELABO INC,TICLOPIDINE HYDROCHLORIDE,Ticlopidine Hydrochloride,7975,InActive,17/01/1989,France,R1-CEP 2001-414 - Rev 02,03/03/2011,Withdrawn by Holder,14/02/2017,Chemical,,,,
